Questions,Categories
What are the different parts of Medicare?,"Part A, Part B, Part C, Part D"
How can I get my Medicare coverage?,coverage
What are my Medicare coverage choices?,"coverage, Original Medicare, Medicare Advantage"
What should I consider when choosing or changing my coverage?,"coverage, decision, change"
What if I need help deciding how to get my Medicare?,decision
Where can I get my questions answered?,resources
Why do some people get Part A and Part B automatically?,"Part A, Part B, qualification"
Do I have to sign up for Part A and/or Part B?,"Part A, Part B, enrollment"
Where can I get more information about Part A and/or Part B?,"Part A, Part B, resources"
"If I’m not automatically enrolled, when can I sign up?",enrollment
How does my other insurance work with Medicare?,other insurance
What is Medicare and the Health Insurance Marketplace?,Health Insurance Marketplace
"Can I get a Marketplace plan instead of Medicare, or can I get a Marketplace plan in addition to Medicare?","Health Insurance Marketplace, change, coverage, plans"
Where can I get more information about Marketplace coverage?,"coverage, Health Insurance Marketplace, resources"
What’s the Part A late enrollment penalty?,"Part A, enrollment, penalty, late"
How much does Part B coverage cost?,"Part B, coverage, cost"
What’s the Part B late enrollment penalty?,"Part B, enrollment, penalty, late"
How can I pay my Part B premium?,"Part B, cost, premium, resources"
What services does Medicare cover?,"services, coverage"
What does Part A cover?,"Part A, coverage"
What do I pay for Part A-covered services?,"Part A, cost"
What are the Part A-covered services?,"Part A, coverage, services"
Am I an inpatient or outpatient?,"inpatient, outpatient"
What does Part B cover?,"Part B, coverage"
What are the Part B-covered services?,"Part B, coverage, services"
Want to keep track of your preventive services?,"tracking, services"
What’s NOT covered by Part A and Part B?,"coverage, Part A, Part B"
What’s the Long-Term Care Ombudsman?,Ombudsman
How does Original Medicare work?,Original Medicare
Are prescription drugs covered by Original Medicare?,"Part D, Original Medicare, drugs"
Do I need to choose a primary care doctor?,"primary care, doctor, decision"
Do I have to get a referral to see a specialist?,"referral, specialist"
Should I get a supplemental policy?,supplemental policy
What do I pay for Original Medicare?,"Original Medicare, cost"
How do I know what Medicare paid?,"cost, coverage"
What’s assignment?,assignment
What are private contracts?,private contracts
Can I add drug coverage (Part D) to Original Medicare?,"Part D, Original Medicare"
What are Medicare Advantage Plans?,Medicare Advantage
What else should I know about Medicare Advantage Plans?,"Medicare Advantage, resources"
Who can join Medicare Advantage Plans?,"Medicare Advantage, enrollment"
What if I have a Medicare Supplement Insurance (Medigap) Policy?,Medigap
What if I have End-Stage Renal Disease (ESRD)?,ESRD
What do I pay for Medicare Advantage Plan?,"Medicare Advantage, cost"
"With a Health Maintenance Organization (HMO) plan, can I get my health care from any doctor, other health care provider, or hospital?","HMO, coverage, doctor, provider, hospital"
"With a Health Maintenance Organization (HMO) plan, are prescription drugs covered?","HMO, coverage, drugs"
"With a Health Maintenance Organization (HMO) plan, do I need to choose a primary care doctor?","HMO, decision, doctor"
"With a Health Maintenance Organization (HMO) plan, do I have to get a referral to see a specialist?","HMO, referral, specialist"
What else do I need to know about a Health Maintenance Organization (HMO) plan?,"HMO, resources"
"With a Preferred Provider Organization (PPO) plan, can I get my health care from any doctor, other health care provider, or hospital?","PPO, coverage, doctor, provider, hospital"
"With a Preferred Provider Organization (PPO) plan, are prescription drugs covered?","PPO, coverage, drugs"
"With a Preferred Provider Organization (PPO) plan, do I need to choose a primary care doctor?","PPO, decision, doctor"
"With a Preferred Provider Organization (PPO) plan, do I have to get a referral to see a specialist?","PPO, referral, specialist"
"With a Private Fee-for-Service (PFFS) plan, can I get my health care from any doctor, other health care provider, or hospital?","PFFS, coverage, doctor, provider, hospital"
"With a Private Fee-for-Service (PFFS) plan, are prescription drugs covered?","PFFS, coverage, drugs"
"With a Private Fee-for-Service (PFFS) plan, do I need to choose a primary care doctor?","PFFS, decision, doctor"
"With a Private Fee-for-Service (PFFS) plan, do I have to get a referral to see a specialist?","PFFS, referral, specialist"
"With a Special Needs Plan (SNP), can I get my health care from any doctor, other health care provider, or hospital?","SNP, coverage, doctor, provider, hospital"
"With a Special Needs Plan (SNP), are prescription drugs covered?","SNP, coverage, drugs"
"With a Special Needs Plan (SNP), do I need to choose a primary care doctor?","SNP, decision, doctor"
"With a Special Needs Plan (SNP), do I have to get a referral to see a specialist?","SNP, referral, specialist"
"When can I join, switch, or drop a Medicare Advantage Plan?","Medicare Advantage, change, enrollment, drop"
Can I make changes to my coverage after December 7?,"coverage, date, change"
How do I switch a Medicare Advantage Plan?,"Medicare Advantage, change"
Are there other types of Medicare health plans?,"resources, plans"
What are Medicare Supplement Insurance (Medigap) Policies?,"Medigap, policies"
How do I compare Medigap policies?,"Medigap, compare"
What else should I know about Medicare Supplement Insurance (Medigap)?,"Medigap, resources"
How does Medigap work with Medicare Advantage Plans?,"Medigap, Medicare Advantage"
Where can I get more information about Medicare Supplement Insurance (Medigap)?,"Medigap, resources"
How does Medicare prescription drug coverage (Part D) work?,Part D
"When can I join, switch, or drop a Medicare drug plan?","Part D, change, enrollment, drop"
How do I switch to a new Medicare drug plan?,"Part D, plans, change"
How do I drop a Medicare drug plan?,"Part D, drop"
How much do I pay for a Medicare drug plan?,"Part D, cost"
What’s the Part D late enrollment penalty?,"Part D, enrollment, penalty"
How much more will I pay for a Part D late enrollment penalty?,"Part D, enrollment, penalty, cost"
What if I don’t agree with the penalty?,"Part D, disagree"
Which drugs are covered by Part D?,"Part D, coverage"
Do you get automatic prescription refills in the mail?,"refills, drugs"
How do other insurance and programs work with Part D?,"Part D, other insurance"
How does other government insurance work with Part D?,"Part D, other insurance"
What if I need help paying my Medicare prescription drug costs?,"drugs, cost, help"
What if I need help paying my Medicare health care costs?,"coverage, cost, help"
How do I qualify?,qualification
What does Medicaid cover?,"Medicaid, coverage"
How do I qualify for Medicaid?,"Medicaid, qualification"
What are demonstration plans for people who have both Medicare and Medicaid?,"Medicaid, plans"
What are my Medicare rights?,rights
What are my rights if my plan stops participating in Medicare?,"rights, drop"
What’s an appeal?,appeal
How do I file an appeal?,"appeal, filing"
How do I ask for a coverage determination or exception?,"exception, coverage"
What are my rights if I think my services are ending too soon?,"rights, services, drop"
How can I get help filing an appeal?,"filing, help, appeal"
What’s an “Advance Beneficiary Notice of Noncoverage” (ABN)?,ABN
What happens if I get an ABN?,"ABN, coverage"
Can I get an ABN for other reasons?,"ABN, resources"
What if I didn’t get an ABN?,ABN
Where can I get more information about appeals and ABNs?,"ABN, appeal, resources"
How does Medicare use my personal information?,personal information
How can I protect myself from identity theft?,"personal information, identity theft"
How can I protect myself and Medicare from fraud?,"fraud, protection"
What’s the Senior Medicare Patrol (SMP) Program?,SMP
Is my right to my own health information protected?,"rights, protection"
What’s the Medicare Beneficiary Ombudsman?,Ombudsman
What are advance directives?,advanced directives
What if I already have an advance directive?,advanced directives
Where can I get personalized help?,"help, resources"
Do you need someone to be able to call 1-800-MEDICARE on your behalf?,help
